270,27
506,32
690,38
208,49
83,50
544,54
794,54
921,60
475,62
727,66
754,68
91,71
818,75
473,77
409,86
948,93
162,94
684,94
877,94
854,95
169,96
188,96
538,100
446,102
889,107
350,111
90,113
799,129
835,130
338,134
148,138
748,139
773,139
148,141
616,153
867,154
555,155
595,157
544,167
697,175
711,175
702,176
872,178
357,179
8,180
931,180
129,194
386,199
456,199
471,203
510,205
699,206
330,217
178,218
885,218
578,222
932,225
185,232
755,232
545,236
364,237
552,237
469,238
262,242
368,253
753,253
511,254
645,254
709,258
172,267
293,275
428,290
653,291
558,294
857,299
813,303
530,313
925,324
405,330
906,332
584,333
989,336
517,338
647,338
75,348
79,354
515,354
799,362
307,368
962,379
677,383
180,384
750,385
135,386
180,388
885,393
390,399
896,403
241,404
817,406
427,411
638,411
243,412
89,413
368,418
164,420
87,434
106,440
979,443
768,447
43,455
431,455
916,459
925,460
389,466
641,466
563,467
282,471
474,471
447,474
752,481
236,489
902,497
193,500
599,500
204,502
969,506
680,507
394,510
333,511
68,512
599,517
951,521
862,523
782,524
513,530
418,533
303,535
422,537
359,538
545,543
780,543
79,550
143,550
497,557
204,558
322,559
673,559
804,565
865,567
620,569
160,573
238,573
643,577
70,582
583,582
311,585
880,593
259,602
249,603
25,605
710,605
576,607
503,609
755,623
129,629
136,629
712,629
721,631
878,634
436,638
474,639
302,641
618,644
610,648
305,649
676,649
61,657
212,657
735,670
772,674
275,678
406,681
808,684
872,690
471,694
409,706
462,708
811,708
867,708
687,720
30,725
710,729
629,736
881,737
711,738
405,740
495,745
797,748
495,751
777,762
431,764
930,765
665,775
6,783
360,790
340,793
779,810
583,814
640,815
385,822
313,831
641,836
576,838
388,839
691,844
713,844
930,845
865,855
318,857
481,860
370,865
371,876
290,899
19,909
288,909
409,909
264,932
347,934
324,941
206,942
120,952
657,957
27,1
91,1
144,1
202,1
289,1
393,1
430,1
512,1
599,1
644,1
791,1
915,1
1,181
1000,327
1,361
1,534
1,604
1,685
1,783
1,907
628,1000
597,216
48,41
123,28
465,17
569,48
684,45
206,72
87,67
816,69
942,76
722,93
799,103
452,100
381,89
440,96
954,94
430,136
888,138
84,114
784,192
156,142
546,162
899,187
336,194
11,185
945,224
132,201
474,232
706,210
664,221
333,224
571,234
426,285
375,253
735,261
359,267
521,307
168,264
283,339
466,281
529,326
994,327
581,337
900,371
990,341
659,345
76,358
115,361
428,384
806,396
258,376
100,412
890,401
381,413
263,417
384,465
88,501
936,448
986,450
476,464
444,462
907,464
330,481
253,490
508,501
894,498
199,500
365,538
73,545
935,569
250,528
305,553
357,543
736,566
545,557
216,571
318,580
875,592
617,573
315,590
576,623
725,627
772,658
126,634
176,661
477,682
401,683
598,711
283,662
275,688
952,703
462,701
507,734
424,713
816,712
704,723
642,725
29,753
478,771
910,777
70,890
379,820
334,819
261,828
688,840
625,860
654,886
692,958
937,845
453,919
352,938
137,923
282,980
128,974
